timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,216,-2136,-160,-46,266,-10
5,176,-2152,-160,-31,264,-18
10,152,-2176,-128,-13,258,-25
15,104,-2152,-136,10,248,-30
20,96,-2136,-120,35,236,-30
25,32,-2136,-136,60,221,-31
30,32,-2104,-112,82,206,-29
35,8,-2096,-112,104,188,-24
40,16,-2048,-88,124,170,-19
45,0,-2064,-96,142,152,-14
50,-8,-2016,-96,155,134,-9
55,8,-2000,-80,164,119,-4
60,0,-1968,-64,174,105,0
65,0,-1992,-120,179,93,4
70,40,-1984,-88,184,82,3
75,40,-1968,-88,184,73,1
80,72,-1960,-88,183,67,-4
85,88,-1976,-88,179,61,-6
90,96,-1976,-88,171,57,-12
95,120,-1976,-104,161,52,-21
100,136,-1984,-96,149,47,-31
105,136,-1984,-128,134,45,-41
110,184,-1984,-120,119,46,-47
115,176,-1968,-136,102,47,-54
120,216,-1968,-120,85,51,-60
125,200,-1944,-152,69,55,-67
130,224,-1944,-160,57,62,-70
135,224,-1944,-144,44,68,-72
140,208,-1952,-128,33,76,-71
145,200,-1984,-104,23,80,-68
150,184,-1968,-120,14,85,-65
155,176,-1976,-104,7,87,-62
160,136,-1968,-112,5,88,-58
165,144,-2040,-112,3,84,-55
170,120,-2032,-120,8,81,-51
175,104,-2064,-112,16,76,-48
180,88,-2072,-96,26,70,-47
185,96,-2072,-104,39,61,-46
190,80,-2064,-96,50,48,-46
195,72,-2056,-128,61,34,-43
200,64,-2056,-112,67,22,-43
205,80,-2080,-120,76,8,-40
210,80,-2040,-144,83,-2,-37
215,72,-2032,-136,86,-13,-35
220,88,-2024,-176,88,-22,-33
225,112,-2016,-168,87,-28,-29
230,112,-2032,-160,87,-33,-28
235,120,-2016,-184,88,-36,-23
240,112,-1992,-152,86,-38,-19
245,128,-1992,-176,84,-42,-18
250,144,-1968,-200,83,-42,-16
255,152,-2000,-168,80,-41,-15
260,192,-2000,-136,77,-39,-14
265,160,-1992,-160,73,-37,-12
